[158/720] dj_14_fake_marrakesh seed=18 n*=300  (0.3s, ~2 min left)
[159/720] dj_14_fake_marrakesh seed=19 n*=200  (0.3s, ~2 min left)
[160/720] dj_14_fake_marrakesh seed=20 n*=250  (0.3s, ~2 min left)
[161/720] qaoa_4_fake_sherbrooke seed=1 n*=150  (0.2s, ~2 min left)
[162/720] qaoa_4_fake_sherbrooke seed=2 n*=100  (0.2s, ~2 min left)
[163/720] qaoa_4_fake_sherbrooke seed=3 n*=200  (0.3s, ~2 min left)
[164/720] qaoa_4_fake_sherbrooke seed=4 n*=100  (0.3s, ~2 min left)
[165/720] qaoa_4_fake_sherbrooke seed=5 n*=100  (0.3s, ~2 min left)
[166/720] qaoa_4_fake_sherbrooke seed=6 n*=150  (0.3s, ~2 min left)
[167/720] qaoa_4_fake_sherbrooke seed=7 n*=50  (0.2s, ~2 min left)
[168/720] qaoa_4_fake_sherbrooke seed=8 n*=150  (0.2s, ~2 min left)
[169/720] qaoa_4_fake_sherbrooke seed=9 n*=300  (0.2s, ~2 min left)
[170/720] qaoa_4_fake_sherbrooke seed=10 n*=100  (0.3s, ~2 min left)
[171/720] qaoa_4_fake_sherbrooke seed=11 n*=200  (0.3s, ~2 min left)
[172/720] qaoa_4_fake_sherbrooke seed=12 n*=100  (0.3s, ~2 min left)
[173/720] qaoa_4_fake_sherbrooke seed=13 n*=150  (0.2s, ~2 min left)
[174/720] qaoa_4_fake_sherbrooke seed=14 n*=100  (0.3s, ~2 min left)
[175/720] qaoa_4_fake_sherbrooke seed=15 n*=100  (0.3s, ~2 min left)
[176/720] qaoa_4_fake_sherbrooke seed=16 n*=200  (0.2s, ~2 min left)
[177/720] qaoa_4_fake_sherbrooke seed=17 n*=100  (0.3s, ~2 min left)
[178/720] qaoa_4_fake_sherbrooke seed=18 n*=150  (0.3s, ~2 min left)
[179/720] qaoa_4_fake_sherbrooke seed=19 n*=100  (0.2s, ~2 min left)
[180/720] qaoa_4_fake_sherbrooke seed=20 n*=150  (0.3s, ~2 min left)
[181/720] qaoa_6_fake_marrakesh seed=1 n*=800  (0.4s, ~2 min left)
[182/720] qaoa_6_fake_marrakesh seed=2 n*=650  (0.4s, ~2 min left)
[183/720] qaoa_6_fake_marrakesh seed=3 n*=550  (0.4s, ~2 min left)
[184/720] qaoa_6_fake_marrakesh seed=4 n*=450  (0.4s, ~2 min left)
[185/720] qaoa_6_fake_marrakesh seed=5 n*=350  (0.4s, ~2 min left)
[186/720] qaoa_6_fake_marrakesh seed=6 n*=500  (0.4s, ~2 min left)
[187/720] qaoa_6_fake_marrakesh seed=7 n*=450  (0.4s, ~2 min left)
[188/720] qaoa_6_fake_marrakesh seed=8 n*=550  (0.4s, ~2 min left)
[189/720] qaoa_6_fake_marrakesh seed=9 n*=350  (0.4s, ~2 min left)
[190/720] qaoa_6_fake_marrakesh seed=10 n*=550  (0.4s, ~2 min left)
[191/720] qaoa_6_fake_marrakesh seed=11 n*=550  (0.4s, ~2 min left)
[192/720] qaoa_6_fake_marrakesh seed=12 n*=350  (0.4s, ~2 min left)
[193/720] qaoa_6_fake_marrakesh seed=13 n*=550  (0.4s, ~2 min left)
[194/720] qaoa_6_fake_marrakesh seed=14 n*=500  (0.4s, ~2 min left)
[195/720] qaoa_6_fake_marrakesh seed=15 n*=350  (0.4s, ~2 min left)
[196/720] qaoa_6_fake_marrakesh seed=16 n*=750  (0.4s, ~2 min left)
[197/720] qaoa_6_fake_marrakesh seed=17 n*=500  (0.4s, ~2 min left)
[198/720] qaoa_6_fake_marrakesh seed=18 n*=600  (0.5s, ~2 min left)
[199/720] qaoa_6_fake_marrakesh seed=19 n*=500  (0.4s, ~2 min left)
[200/720] qaoa_6_fake_marrakesh seed=20 n*=500  (0.4s, ~2 min left)
[201/720] qaoa_8_fake_kyiv seed=1 n*=1800  (0.6s, ~2 min left)
[202/720] qaoa_8_fake_kyiv seed=2 n*=2150  (0.6s, ~2 min left)
[203/720] qaoa_8_fake_kyiv seed=3 n*=1400  (0.6s, ~2 min left)
[204/720] qaoa_8_fake_kyiv seed=4 n*=2900  (0.6s, ~2 min left)
[205/720] qaoa_8_fake_kyiv seed=5 n*=2250  (0.6s, ~2 min left)
[206/720] qaoa_8_fake_kyiv seed=6 n*=1950  (0.6s, ~2 min left)
[207/720] qaoa_8_fake_kyiv seed=7 n*=1900  (0.6s, ~2 min left)
[208/720] qaoa_8_fake_kyiv seed=8 n*=2450  (0.6s, ~2 min left)
[209/720] qaoa_8_fake_kyiv seed=9 n*=2000  (0.6s, ~2 min left)
[210/720] qaoa_8_fake_kyiv seed=10 n*=1750  (0.6s, ~2 min left)
[211/720] qaoa_8_fake_kyiv seed=11 n*=2400  (0.6s, ~2 min left)
[212/720] qaoa_8_fake_kyiv seed=12 n*=2050  (0.6s, ~2 min left)
[213/720] qaoa_8_fake_kyiv seed=13 n*=1850  (0.6s, ~2 min left)
[214/720] qaoa_8_fake_kyiv seed=14 n*=2000  (0.6s, ~2 min left)
[215/720] qaoa_8_fake_kyiv seed=15 n*=1950  (0.7s, ~2 min left)
[216/720] qaoa_8_fake_kyiv seed=16 n*=2000  (0.6s, ~2 min left)
[217/720] qaoa_8_fake_kyiv seed=17 n*=1800  (0.6s, ~2 min left)
[218/720] qaoa_8_fake_kyiv seed=18 n*=1900  (0.6s, ~2 min left)
[219/720] qaoa_8_fake_kyiv seed=19 n*=1550  (0.6s, ~3 min left)
[220/720] qaoa_8_fake_kyiv seed=20 n*=1900  (0.6s, ~3 min left)
[221/720] qaoa_8_fake_sherbrooke seed=1 n*=2150  (0.6s, ~3 min left)
[222/720] qaoa_8_fake_sherbrooke seed=2 n*=2550  (0.6s, ~3 min left)
[223/720] qaoa_8_fake_sherbrooke seed=3 n*=1500  (0.6s, ~3 min left)
[224/720] qaoa_8_fake_sherbrooke seed=4 n*=2050  (0.6s, ~3 min left)
[225/720] qaoa_8_fake_sherbrooke seed=5 n*=2500  (0.6s, ~3 min left)
[226/720] qaoa_8_fake_sherbrooke seed=6 n*=1950  (0.6s, ~3 min left)
[227/720] qaoa_8_fake_sherbrooke seed=7 n*=1800  (0.6s, ~3 min left)
[228/720] qaoa_8_fake_sherbrooke seed=8 n*=1800  (0.6s, ~3 min left)
[229/720] qaoa_8_fake_sherbrooke seed=9 n*=1750  (0.6s, ~3 min left)
[230/720] qaoa_8_fake_sherbrooke seed=10 n*=1750  (0.6s, ~3 min left)
[231/720] qaoa_8_fake_sherbrooke seed=11 n*=2000  (0.6s, ~3 min left)
[232/720] qaoa_8_fake_sherbrooke seed=12 n*=1900  (0.6s, ~3 min left)
[233/720] qaoa_8_fake_sherbrooke seed=13 n*=2100  (0.6s, ~3 min left)
[234/720] qaoa_8_fake_sherbrooke seed=14 n*=2050  (0.6s, ~3 min left)
[235/720] qaoa_8_fake_sherbrooke seed=15 n*=1750  (0.6s, ~3 min left)
[236/720] qaoa_8_fake_sherbrooke seed=16 n*=2200  (0.6s, ~3 min left)
[237/720] qaoa_8_fake_sherbrooke seed=17 n*=1700  (0.6s, ~3 min left)
[238/720] qaoa_8_fake_sherbrooke seed=18 n*=1850  (0.6s, ~3 min left)
[239/720] qaoa_8_fake_sherbrooke seed=19 n*=1300  (0.6s, ~3 min left)
[240/720] qaoa_8_fake_sherbrooke seed=20 n*=2050  (0.6s, ~3 min left)
[241/720] qaoa_10_fake_sherbrooke seed=1 n*=6450  (0.9s, ~3 min left)
[242/720] qaoa_10_fake_sherbrooke seed=2 n*=6300  (0.9s, ~3 min left)
[243/720] qaoa_10_fake_sherbrooke seed=3 n*=6700  (0.9s, ~3 min left)
[244/720] qaoa_10_fake_sherbrooke seed=4 n*=6300  (0.9s, ~3 min left)
[245/720] qaoa_10_fake_sherbrooke seed=5 n*=5600  (0.9s, ~3 min left)
[246/720] qaoa_10_fake_sherbrooke seed=6 n*=6750  (0.9s, ~3 min left)
[247/720] qaoa_10_fake_sherbrooke seed=7 n*=5700  (0.9s, ~3 min left)
[248/720] qaoa_10_fake_sherbrooke seed=8 n*=6900  (0.9s, ~3 min left)
[249/720] qaoa_10_fake_sherbrooke seed=9 n*=5650  (0.9s, ~3 min left)
[250/720] qaoa_10_fake_sherbrooke seed=10 n*=6000  (0.9s, ~3 min left)
[251/720] qaoa_10_fake_sherbrooke seed=11 n*=6150  (0.9s, ~3 min left)
[252/720] qaoa_10_fake_sherbrooke seed=12 n*=6600  (0.9s, ~3 min left)
[253/720] qaoa_10_fake_sherbrooke seed=13 n*=6300  (0.9s, ~3 min left)
[254/720] qaoa_10_fake_sherbrooke seed=14 n*=5600  (0.9s, ~3 min left)
[255/720] qaoa_10_fake_sherbrooke seed=15 n*=6350  (0.9s, ~3 min left)
[256/720] qaoa_10_fake_sherbrooke seed=16 n*=5700  (0.9s, ~3 min left)
[257/720] qaoa_10_fake_sherbrooke seed=17 n*=6050  (0.9s, ~3 min left)
[258/720] qaoa_10_fake_sherbrooke seed=18 n*=6450  (0.9s, ~3 min left)
[259/720] qaoa_10_fake_sherbrooke seed=19 n*=6700  (0.9s, ~3 min left)
[260/720] qaoa_10_fake_sherbrooke seed=20 n*=6000  (0.9s, ~3 min left)
[261/720] qaoa_12_fake_marrakesh seed=1 n*=6950  (0.8s, ~3 min left)
[262/720] qaoa_12_fake_marrakesh seed=2 n*=6600  (0.8s, ~3 min left)
[263/720] qaoa_12_fake_marrakesh seed=3 n*=7150  (0.9s, ~3 min left)
[264/720] qaoa_12_fake_marrakesh seed=4 n*=6950  (0.8s, ~3 min left)
[265/720] qaoa_12_fake_marrakesh seed=5 n*=7050  (0.9s, ~3 min left)
[266/720] qaoa_12_fake_marrakesh seed=6 n*=7100  (0.8s, ~3 min left)
[267/720] qaoa_12_fake_marrakesh seed=7 n*=6600  (0.9s, ~3 min left)
[268/720] qaoa_12_fake_marrakesh seed=8 n*=7150  (0.9s, ~3 min left)
[269/720] qaoa_12_fake_marrakesh seed=9 n*=6100  (0.9s, ~3 min left)
[270/720] qaoa_12_fake_marrakesh seed=10 n*=7000  (0.9s, ~3 min left)
[271/720] qaoa_12_fake_marrakesh seed=11 n*=6700  (0.9s, ~3 min left)
[272/720] qaoa_12_fake_marrakesh seed=12 n*=7100  (0.9s, ~3 min left)
[273/720] qaoa_12_fake_marrakesh seed=13 n*=7000  (0.8s, ~3 min left)
[274/720] qaoa_12_fake_marrakesh seed=14 n*=6500  (0.9s, ~3 min left)
[275/720] qaoa_12_fake_marrakesh seed=15 n*=6700  (0.9s, ~3 min left)
[276/720] qaoa_12_fake_marrakesh seed=16 n*=6350  (0.8s, ~3 min left)
[277/720] qaoa_12_fake_marrakesh seed=17 n*=6650  (0.9s, ~3 min left)
[278/720] qaoa_12_fake_marrakesh seed=18 n*=6900  (0.9s, ~3 min left)
[279/720] qaoa_12_fake_marrakesh seed=19 n*=7000  (0.9s, ~3 min left)
[280/720] qaoa_12_fake_marrakesh seed=20 n*=6550  (0.9s, ~3 min left)
[281/720] qaoa_14_fake_kyiv seed=1 n*=12450  (1.1s, ~3 min left)
[282/720] qaoa_14_fake_kyiv seed=2 n*=12700  (1.1s, ~3 min left)
[283/720] qaoa_14_fake_kyiv seed=3 n*=12250  (1.1s, ~3 min left)
[284/720] qaoa_14_fake_kyiv seed=4 n*=12400  (1.1s, ~3 min left)
[285/720] qaoa_14_fake_kyiv seed=5 n*=12700  (1.1s, ~3 min left)
[286/720] qaoa_14_fake_kyiv seed=6 n*=12700  (1.1s, ~3 min left)
[287/720] qaoa_14_fake_kyiv seed=7 n*=12000  (1.1s, ~3 min left)
[288/720] qaoa_14_fake_kyiv seed=8 n*=12300  (1.1s, ~3 min left)
[289/720] qaoa_14_fake_kyiv seed=9 n*=13100  (1.1s, ~3 min left)
[290/720] qaoa_14_fake_kyiv seed=10 n*=13100  (1.2s, ~3 min left)
[291/720] qaoa_14_fake_kyiv seed=11 n*=12200  (1.1s, ~3 min left)
[292/720] qaoa_14_fake_kyiv seed=12 n*=12800  (1.1s, ~3 min left)
[293/720] qaoa_14_fake_kyiv seed=13 n*=12650  (1.1s, ~3 min left)
[294/720] qaoa_14_fake_kyiv seed=14 n*=12250  (1.1s, ~3 min left)
[295/720] qaoa_14_fake_kyiv seed=15 n*=12600  (1.1s, ~3 min left)
[296/720] qaoa_14_fake_kyiv seed=16 n*=12650  (1.1s, ~3 min left)
[297/720] qaoa_14_fake_kyiv seed=17 n*=12150  (1.1s, ~3 min left)
[298/720] qaoa_14_fake_kyiv seed=18 n*=12500  (1.1s, ~3 min left)
[299/720] qaoa_14_fake_kyiv seed=19 n*=13050  (1.1s, ~3 min left)
[300/720] qaoa_14_fake_kyiv seed=20 n*=11900  (1.1s, ~3 min left)
[301/720] qaoa_14_fake_sherbrooke seed=1 n*=13600  (1.1s, ~3 min left)
[302/720] qaoa_14_fake_sherbrooke seed=2 n*=13600  (1.1s, ~3 min left)
[303/720] qaoa_14_fake_sherbrooke seed=3 n*=13400  (1.1s, ~3 min left)
[304/720] qaoa_14_fake_sherbrooke seed=4 n*=13400  (1.1s, ~3 min left)
[305/720] qaoa_14_fake_sherbrooke seed=5 n*=13450  (1.1s, ~3 min left)
[306/720] qaoa_14_fake_sherbrooke seed=6 n*=13700  (1.1s, ~3 min left)
[307/720] qaoa_14_fake_sherbrooke seed=7 n*=13100  (1.1s, ~3 min left)
[308/720] qaoa_14_fake_sherbrooke seed=8 n*=13400  (1.1s, ~3 min left)
[309/720] qaoa_14_fake_sherbrooke seed=9 n*=14050  (1.2s, ~3 min left)
[310/720] qaoa_14_fake_sherbrooke seed=10 n*=13900  (1.1s, ~3 min left)
[311/720] qaoa_14_fake_sherbrooke seed=11 n*=13450  (1.1s, ~3 min left)
[312/720] qaoa_14_fake_sherbrooke seed=12 n*=13300  (1.1s, ~3 min left)
[313/720] qaoa_14_fake_sherbrooke seed=13 n*=14200  (1.1s, ~3 min left)
[314/720] qaoa_14_fake_sherbrooke seed=14 n*=13200  (1.1s, ~3 min left)
[315/720] qaoa_14_fake_sherbrooke seed=15 n*=13650  (1.1s, ~3 min left)
[316/720] qaoa_14_fake_sherbrooke seed=16 n*=14150  (1.1s, ~3 min left)
