algorithm,size,backend,seed,n_star
vqe,12,fake_kyiv,17,650
vqe,12,fake_kyiv,18,500
vqe,12,fake_kyiv,19,600
vqe,12,fake_kyiv,20,1050
vqe,14,fake_kyiv,1,2250
vqe,14,fake_kyiv,2,2600
vqe,14,fake_kyiv,3,2550
vqe,14,fake_kyiv,4,3300
vqe,14,fake_kyiv,5,2650
vqe,14,fake_kyiv,6,2400
vqe,14,fake_kyiv,7,2550
vqe,14,fake_kyiv,8,3000
vqe,14,fake_kyiv,9,2400
vqe,14,fake_kyiv,10,2750
vqe,14,fake_kyiv,11,3050
vqe,14,fake_kyiv,12,2350
vqe,14,fake_kyiv,13,2800
vqe,14,fake_kyiv,14,2450
vqe,14,fake_kyiv,15,2900
vqe,14,fake_kyiv,16,2050
vqe,14,fake_kyiv,17,2250
vqe,14,fake_kyiv,18,2800
vqe,14,fake_kyiv,19,2250
vqe,14,fake_kyiv,20,2450
